Mouse ID,Embedding
Day 8_A8-4-L.png,"[ 0.3001474 ,  1.7920256 , -1.4035113 ,  2.0949128 ,  1.0923561 ,
  0.07719336, -0.71925056, -0.81042725, -1.2290577 , -0.383328  ,
  0.9041644 ,  0.80413693, -1.7856596 , -0.09030524, -1.8209426 ,
 -0.18717769]"
Day 4_A8-3-R.png,"[-2.0869086 , -0.36767995,  1.8144072 , -2.1270878 ,  0.58807886,
  0.21177398,  0.49025837,  1.3662108 , -0.44364345, -1.6671764 ,
  0.9168532 , -0.91037834,  1.3319588 ,  0.04210682,  1.5203516 ,
  0.94470537]"
Day 14_A8-5-L.png,"[-1.9530394 ,  0.7792855 ,  1.1419383 , -0.8898127 ,  1.1146823 ,
  0.21855097,  0.1752485 ,  1.5035627 , -1.0359321 , -1.73107   ,
  1.4395413 , -0.61353976,  0.40232816,  0.02031847,  0.35721394,
  1.079524  ]"
Day 0_Y8-3-L.png,"[-0.9445522 , -0.71120006,  1.3026383 , -1.555036  ,  0.12229618,
  0.14216241,  0.5926018 ,  0.74672335,  0.67364055, -0.32237223,
 -0.0840193 , -0.8445083 ,  0.94675905, -0.16228123,  1.1539044 ,
  0.46213695]"
Day 7_A8-5-L.png,"[-1.5541368 ,  2.1629956 , -0.11856324,  0.59067595,  2.1000118 ,
  0.30620676, -0.44054535,  0.87899625, -2.4432914 , -2.2606902 ,
  2.2554975 ,  0.34158376, -1.097166  , -0.02863208, -1.3164964 ,
  0.9179922 ]"
Day 13_Y8-3-L.png,"[ 1.1999245 ,  2.7491813 , -2.9571018 ,  3.7220235 ,  1.332361  ,
  0.12683351, -1.551232  , -1.3896978 , -2.224252  , -0.25677356,
  1.4798968 ,  1.9161043 , -3.0815318 ,  0.19684136, -3.1241376 ,
 -1.0739862 ]"
Day 15_Y8-1-R.png,"[ 2.0344398 ,  3.1563237 , -3.9981594 ,  4.777048  ,  0.9576021 ,
  0.02436644, -1.9455885 , -2.054785  , -2.302706  ,  0.3361359 ,
  1.337853  ,  2.4574287 , -3.706378  ,  0.32492754, -3.8078592 ,
 -1.8468113 ]"
Day 6_Y8-1-R.png,"[-1.8811778 ,  1.4788145 ,  0.8414799 , -0.3613117 ,  1.6723293 ,
  0.18924457,  0.03042925,  1.3769418 , -1.8586773 , -1.9861782 ,
  1.8154155 , -0.29839477, -0.10863858, -0.07652998, -0.4169905 ,
  1.4079696 ]"
Day 3_A8-4-R.png,"[ 2.1307666 , -7.0973673 ,  3.4379125 , -4.884341  , -6.3104796 ,
 -0.89847225,  2.7019966 , -0.20435958,  7.5696597 ,  5.0694795 ,
 -6.550225  , -3.0811706 ,  5.529771  , -0.4179601 ,  5.8641233 ,
 -0.6881997 ]"
Day 4_Y8-2-R.png,"[-1.8800993 , -0.8348418 ,  1.8282278 , -2.2976391 ,  0.49066862,
  0.30235243,  0.5137849 ,  1.1624058 ,  0.03883622, -1.4354979 ,
  0.5851875 , -0.899213  ,  1.2983681 ,  0.06556486,  1.8988929 ,
  0.64380795]"
Day 10_A8-4-R.png,"[-0.8420634 ,  3.219136  , -1.2062421 ,  2.3209765 ,  2.549574  ,
  0.19952479, -0.882024  , -0.03870694, -3.1464431 , -1.8014023 ,
  2.2642322 ,  0.98858345, -2.2147584 , -0.19616014, -2.6953647 ,
  0.70135254]"
Day 6_Y8-3-R.png,"[-1.8364896 ,  1.80298   ,  0.52565855,  0.10434554,  1.9054724 ,
  0.22768266, -0.14985466,  1.1811758 , -2.0987122 , -2.0903678 ,
  1.9963472 , -0.05480924, -0.48908982, -0.05890798, -0.7964558 ,
  1.2393376 ]"
Day 12_A8-5-R.png,"[ 1.2855034 ,  2.8981652 , -3.2578692 ,  3.946143  ,  1.2003998 ,
  0.09432885, -1.6422826 , -1.5226879 , -2.3980005 , -0.2161977 ,
  1.5301491 ,  2.0952897 , -3.2329092 ,  0.22124788, -3.4058938 ,
 -1.0801649 ]"
Day 15_Y8-3-R.png,"[ 1.5120691 ,  2.729742  , -3.3236911 ,  3.854284  ,  1.2982584 ,
  0.18615842, -1.6580018 , -1.7727412 , -2.0469863 , -0.02944848,
  1.3345909 ,  2.112542  , -3.471652  ,  0.2213755 , -3.14453   ,
 -1.6596013 ]"
Day 1_A8-5-R.png,"[ 0.17243364, -4.0168705 ,  2.4830363 , -2.790892  , -3.9398708 ,
 -0.7070204 ,  1.4634982 ,  0.7013955 ,  4.3379493 ,  2.5669317 ,
 -3.3608372 , -2.2093465 ,  3.8940246 , -0.03404593,  3.8945086 ,
 -0.3954988 ]"
Day 13_Y8-1-L.png,"[ 1.7836907 ,  3.0264297 , -3.6044583 ,  4.510209  ,  1.3240018 ,
 -0.00765878, -1.8733282 , -1.9835162 , -2.3856182 , -0.01955187,
  1.4139438 ,  2.4583328 , -3.5791075 ,  0.3082001 , -3.6369593 ,
 -1.2165505 ]"
Day 0_Y8-1-L.png,"[-0.31282943, -2.5847352 ,  1.9952855 , -2.9322062 , -1.4631412 ,
 -0.03207942,  1.2157649 ,  0.5651813 ,  2.5319023 ,  0.8933033 ,
 -1.705262  , -1.4832488 ,  2.311181  , -0.21233767,  2.6676896 ,
  0.25554574]"
