Mouse ID,Embedding
Day 8_A8-4-L.png,"[-0.7230464   2.6926854  -0.91344494  1.8925263   2.1852133   0.17220426
 -0.6800517  -0.10448377 -2.618583   -1.5674537   1.9596505   0.7531231
 -1.8047645  -0.21045263 -2.2007287   0.69990224]"
Day 4_A8-3-R.png,"[-2.213922   -1.5168328   2.7639296  -3.1649535  -0.06359267  0.14411087
  0.9975724   1.8567069   0.66307265 -1.0034364  -0.01777163 -1.6165715
  2.3389406  -0.04085294  2.5901535   0.9170413 ]"
Day 14_A8-5-L.png,"[-0.08793853  2.1470518  -1.5151109   2.1066597   1.3793355   0.18265797
 -0.91012055 -0.38095945 -1.8508505  -0.90944487  1.5370122   0.9725733
 -1.9116449   0.09640084 -1.9519393  -0.23807028]"
Day 0_Y8-3-L.png,"[-0.6834138  -0.7509859   1.0529096  -1.2849578  -0.08583078  0.09034275
  0.5440006   0.49300835  0.87279147 -0.01688273 -0.31310382 -0.7917492
  0.83196217 -0.17534737  1.0275242   0.3073491 ]"
Day 7_A8-5-L.png,"[-0.8586873   2.7635837  -0.94632846  1.7897552   2.3254724   0.20205086
 -0.72722137  0.20070179 -2.8771749  -1.8435668   2.1492481   0.9055875
 -1.9194722  -0.13400242 -2.2918665   0.79152024]"
Day 13_Y8-3-L.png,"[ 1.4412827   3.1703498  -3.2933419   4.303003    1.3474519   0.06509151
 -1.7526542  -1.5844321  -2.5372448  -0.20435764  1.6006947   2.1409993
 -3.4008837   0.24749044 -3.568916   -1.1546377 ]"
Day 15_Y8-1-R.png,"[ 2.1141005e+00  3.2221045e+00 -4.0442457e+00  4.8634067e+00
  9.4829446e-01  1.9919034e-03 -1.9818743e+00 -2.1018617e+00
 -2.3729742e+00  3.2936445e-01  1.3820612e+00  2.4835515e+00
 -3.7946062e+00  3.3467817e-01 -3.9033682e+00 -1.8211288e+00]"
Day 6_Y8-1-R.png,"[-2.045293    1.3804901   1.0297517  -0.49423403  1.699108    0.19767739
  0.11191178  1.4912187  -1.8008484  -2.0162454   1.7748789  -0.3952052
  0.07794122 -0.09245414 -0.2882255   1.4977096 ]"
Day 3_A8-4-R.png,"[ 0.6799244  -4.027229    2.4063306  -3.155839   -3.530847   -0.5211792
  1.7231927   0.30598542  4.538316    2.7572966  -3.59108    -2.160278
  3.442439   -0.3128003   3.6218605  -0.16854072]"
Day 4_Y8-2-R.png,"[-1.9941521e+00 -1.3548523e+00  2.3851836e+00 -2.8682778e+00
 -1.7466284e-03  2.0393071e-01  7.6862246e-01  1.5044802e+00
  5.3157532e-01 -1.1326227e+00  1.9480206e-01 -1.3070785e+00
  2.0168509e+00  6.1056044e-02  2.4746659e+00  7.9911387e-01]"
Day 10_A8-4-R.png,"[-0.7521936   2.9538443  -1.1962869   2.1549227   2.3947287   0.24537972
 -0.8595237  -0.08308141 -2.8695807  -1.7455082   2.1727953   0.96264637
 -2.115643   -0.15530092 -2.489576    0.502421  ]"
Day 6_Y8-3-R.png,"[-1.6707158   1.7221439   0.39112598  0.19410785  1.6988182   0.22028142
 -0.20561787  1.0986288  -1.8973893  -1.8953147   1.8480585  -0.0520412
 -0.5195855  -0.04114516 -0.7611059   0.95569384]"
Day 12_A8-5-R.png,"[ 0.9319637   2.6771505  -2.8686771   3.4820123   1.3072273   0.14348507
 -1.4752929  -1.2367046  -2.304303   -0.4486772   1.5634332   1.8236295
 -2.9247453   0.18589288 -3.0947318  -0.88425994]"
