Mouse ID,Embedding
Day 8_A8-4-L.png,"[-0.43993896,  2.5927498 , -1.1009417 ,  2.0974927 ,  1.9458153 ,
  0.14912102, -0.75165194, -0.46416578, -2.2673333 , -1.2506522 ,
  1.7652683 ,  0.77559936, -1.9209551 , -0.19134772, -2.2464337 ,
  0.39554164]"
Day 4_A8-3-R.png,"[-2.1548126 , -1.1212591 ,  2.4244773 , -2.7754064 ,  0.3279389 ,
  0.21613915,  0.8384391 ,  1.7471852 ,  0.28489798, -1.2577242 ,
  0.28869992, -1.3326865 ,  1.8515723 , -0.01852862,  2.1947935 ,
  0.88709927]"
Day 14_A8-5-L.png,"[-0.26319188,  1.9178488 , -1.2075408 ,  1.7074399 ,  1.309982  ,
  0.19856384, -0.7696539 , -0.21563561, -1.7430232 , -0.981127  ,
  1.4930384 ,  0.78320235, -1.6442124 ,  0.09349741, -1.665207  ,
 -0.10514468]"
Day 0_Y8-3-L.png,"[-0.6739672 , -0.70868236,  1.0027314 , -1.244883  , -0.01834821,
  0.10577205,  0.5387899 ,  0.5143977 ,  0.81588626, -0.05824554,
 -0.29450634, -0.7537231 ,  0.8045985 , -0.1686767 ,  0.99462205,
  0.2674477 ]"
Day 7_A8-5-L.png,"[-1.2179104 ,  2.3015544 , -0.5186468 ,  1.0058643 ,  2.1718364 ,
  0.3082127 , -0.58249784,  0.5530776 , -2.4660919 , -2.0654492 ,
  2.1876345 ,  0.5561809 , -1.4397397 , -0.02558487, -1.6424394 ,
  0.66585666]"
Day 13_Y8-3-L.png,"[ 1.2924953 ,  2.8508558 , -3.059554  ,  3.8991315 ,  1.270959  ,
  0.0772339 , -1.6294484 , -1.4432625 , -2.3176372 , -0.20471656,
  1.5059842 ,  1.9771969 , -3.1419241 ,  0.23414403, -3.2464845 ,
 -1.0637443 ]"
Day 15_Y8-1-R.png,"[ 1.8802698 ,  3.116852  , -3.834695  ,  4.5695863 ,  1.109335  ,
  0.06579413, -1.886749  , -1.9618112 , -2.3418376 ,  0.19240834,
  1.3970573 ,  2.3858304 , -3.619358  ,  0.3118489 , -3.715639  ,
 -1.7078243 ]"
Day 6_Y8-1-R.png,"[-1.8970369 ,  1.5045172 ,  0.7396329 , -0.36204785,  1.6941485 ,
  0.2302917 , -0.0043165 ,  1.3503305 , -1.882546  , -2.0612066 ,
  1.8529726 , -0.25411698, -0.18567958, -0.0655962 , -0.43127152,
  1.3398495 ]"
Day 3_A8-4-R.png,"[ 0.22365393, -2.6388836 ,  1.4671222 , -2.4066045 , -1.7559495 ,
 -0.12537932,  1.1265911 ,  0.23680063,  2.5812626 ,  1.3324518 ,
 -2.0231597 , -1.26345   ,  2.0580447 , -0.22818664,  2.3533728 ,
 -0.04415312]"
Day 10_A8-4-R.png,"[-0.9113071 ,  3.0141315 , -1.0761123 ,  2.0697231 ,  2.4231207 ,
  0.24222703, -0.8367492 ,  0.01768652, -2.9220212 , -1.8369538 ,
  2.2350602 ,  0.8853439 , -2.0495536 , -0.16174814, -2.474844  ,
  0.60431457]"
Day 6_Y8-3-R.png,"[-1.6554323 ,  1.8876631 ,  0.28825414,  0.34090543,  1.8637367 ,
  0.22472167, -0.22437629,  1.0289233 , -2.1180182 , -1.9776391 ,
  1.9467479 ,  0.06364563, -0.6665794 , -0.07091022, -0.97261065,
  1.1041173 ]"
Day 12_A8-5-R.png,"[ 0.856775  ,  2.6563263 , -2.8302782 ,  3.3694963 ,  1.3105246 ,
  0.14523941, -1.4399649 , -1.1827918 , -2.2909985 , -0.49388555,
  1.6073257 ,  1.8198237 , -2.8924863 ,  0.19184189, -3.0841622 ,
 -0.85966337]"
