Mouse ID,Embedding
Day 8_A8-4-L.png,"[ 0.11071844, -1.6121716 , -0.49052915,  0.76110727,  0.4955068 ,
  0.8124879 , -1.3717529 ,  0.6038333 ,  0.7945679 , -1.9174846 ,
 -1.418828  ,  0.5200578 ,  0.86973625,  0.58957076, -0.41980335,
  1.3291968 ]"
Day 4_A8-3-R.png,"[14.947247  ,  0.51686156, -1.3124266 , -8.218726  , -4.623337  ,
  1.9606063 , -0.05313868,  5.096131  , -0.23556554, -1.3438231 ,
  0.89022285,  0.21525763,  3.883768  , -2.305356  , -3.1029844 ,
  1.5189378 ]"
Day 14_A8-5-L.png,"[-10.98541   ,  -3.2534475 ,   1.7919374 ,   5.187252  ,   2.4703476 ,
   0.18118642,  -2.7530892 ,  -3.7273686 ,   1.7257266 ,  -2.27309   ,
  -2.83576   ,   0.3262055 ,  -1.6491171 ,   2.9286115 ,  -0.05200446,
   0.54882383]"
Day 0_Y8-3-L.png,"[ 24.540684  ,   4.788065  ,  -0.45299107, -11.369772  ,  -6.8022423 ,
   0.22307251,   3.994741  ,   4.66488   ,  -1.6762693 ,   3.2782576 ,
   4.4794035 ,  -1.6681364 ,   2.3809147 ,  -4.520469  ,  -2.2588634 ,
  -1.1604348 ]"
Day 7_A8-5-L.png,"[-1.8340126 , -2.7477446 ,  1.3825276 ,  4.3148375 ,  1.5979353 ,
  1.3653535 , -2.1879904 , -1.6455086 ,  2.3130825 , -2.339674  ,
 -3.4571817 , -0.2353618 , -0.59215456,  3.0564735 , -0.29860392,
  1.166401  ]"
Day 13_Y8-3-L.png,"[-21.759495  ,   1.5104386 ,   0.396492  ,   7.3423305 ,   6.146319  ,
  -4.8533125 ,   1.8154886 ,  -5.5886436 ,  -2.1412609 ,   3.7912192 ,
   2.171827  ,   0.3052051 ,  -4.48277   ,  -0.60492295,   5.0142956 ,
  -2.2258425 ]"
Day 15_Y8-1-R.png,"[-22.477043  ,   1.2809591 ,   0.6514191 ,   7.679433  ,   6.346407  ,
  -4.8633986 ,   1.5815288 ,  -5.9262533 ,  -2.061746  ,   3.6449215 ,
   2.0285966 ,   0.2598623 ,  -4.7282057 ,  -0.44828466,   5.00891   ,
  -2.2246096 ]"
Day 6_Y8-1-R.png,"[-1.4681392 , -6.436821  ,  3.2162387 ,  4.995586  ,  0.88428694,
  3.2589827 , -5.0351114 , -3.04524   ,  4.378445  , -5.396604  ,
 -6.4345584 , -0.27935207, -0.5829858 ,  5.2952147 , -2.738529  ,
  2.2120574 ]"
Day 3_A8-4-R.png,"[16.446981  ,  1.6949246 , -0.8561717 , -7.0726953 , -4.0481496 ,
  0.8189967 ,  1.2469677 ,  3.7029536 , -0.4297244 ,  0.37676919,
  1.7324029 , -0.37805265,  2.4999688 , -2.6723955 , -2.1770315 ,
  0.51053625]"
Day 10_A8-4-R.png,"[-9.683399  , -2.2493265 ,  0.8902    ,  4.846601  ,  2.7395363 ,
  0.16545182, -1.7782098 , -2.356328  ,  1.2410855 , -1.4781315 ,
 -2.4575899 ,  0.2979302 , -1.2384075 ,  2.435655  ,  0.7567453 ,
  0.26549348]"
Day 6_Y8-3-R.png,"[-5.911077  , -2.9865654 ,  0.9877451 ,  5.0509095 ,  2.7383788 ,
  0.9969397 , -2.9798064 , -2.1742048 ,  2.3638594 , -2.9959247 ,
 -3.9363995 ,  0.5337927 , -0.16721451,  3.2184298 ,  0.2646335 ,
  1.6120038 ]"
Day 12_A8-5-R.png,"[-19.223923  ,   2.0619385 ,  -0.44740754,   4.8516674 ,   4.6971717 ,
  -4.287676  ,   1.9237419 ,  -3.8555791 ,  -2.546467  ,   3.5169742 ,
   2.7944078 ,   0.6114271 ,  -3.3666651 ,  -1.3166645 ,   4.217433  ,
  -2.038415  ]"
Day 15_Y8-3-R.png,"[-20.282156  ,   1.3750172 ,   0.4924533 ,   6.967388  ,   5.896707  ,
  -4.588678  ,   1.5776023 ,  -5.438151  ,  -1.9869698 ,   3.4590967 ,
   2.018242  ,   0.24849744,  -4.3612933 ,  -0.50344753,   4.723249  ,
  -2.0630937 ]"
Day 1_A8-5-R.png,"[ 22.92557   ,   6.445951  ,   0.47993636, -13.883041  ,  -9.504578  ,
   0.6063733 ,   5.6867523 ,   5.1877337 ,  -2.6744852 ,   5.2212405 ,
   6.119746  ,  -3.104755  ,   1.3749707 ,  -4.7903476 ,  -3.2158766 ,
  -2.9307308 ]"
Day 13_Y8-1-L.png,"[-20.89257   ,   1.9487197 ,  -0.5940789 ,   4.9491205 ,   4.7116117 ,
  -4.310346  ,   1.8415507 ,  -3.8565018 ,  -2.6484897 ,   3.5471342 ,
   2.8244045 ,   0.78414106,  -3.2933667 ,  -1.3120397 ,   4.2066326 ,
  -2.0647626 ]"
Day 9_A8-3-R.png,"[-1.9338734 , -2.0813475 ,  0.76195294,  3.8399553 ,  2.2613592 ,
  0.41784734, -2.0163462 , -1.8089626 ,  1.8250917 , -2.096711  ,
 -2.7000666 ,  0.34494638, -0.15977772,  2.1300302 ,  0.4289019 ,
  1.0982742 ]"
Day 5_A8-4-L.png,"[ 0.6502499 , -4.7877593 , -3.240955  , -5.626997  , -3.5981336 ,
  5.1058855 , -4.3920655 ,  8.067957  , -0.08471167, -6.9529166 ,
 -2.8975408 ,  2.2136242 ,  5.73841   ,  0.10727067, -5.135794  ,
  4.6702404 ]"
Day 11_Y8-2-L.png,"[-14.215653  ,  -2.8740556 ,   1.5903915 ,   5.2476544 ,   1.7733214 ,
   1.032646  ,  -1.9099674 ,  -1.681919  ,   1.1578703 ,  -1.3602173 ,
  -2.6884658 ,  -0.31483233,  -2.359775  ,   3.4605877 ,  -0.41615912,
  -0.03732282]"
Day 2_Y8-2-L.png,"[ 1.87248402e+01,  4.45844698e+00,  1.00355325e-02, -1.11529388e+01,
 -8.59944916e+00,  1.91217279e+00,  4.22034025e+00,  5.36365557e+00,
 -1.97807109e+00,  3.66957760e+00,  3.58923888e+00, -3.38986540e+00,
  1.25603378e+00, -3.12922096e+00, -3.18915725e+00, -2.41869235e+00]"
Day 11_A8-3-L.png,"[-1.856647 , -5.218968 ,  3.7417145,  6.8783364,  1.7591226,  3.2145808,
 -3.7307916, -3.3500137,  4.489968 , -4.0019727, -6.3713007, -1.4313933,
 -1.6574212,  5.7145786, -1.2771915,  1.160022 ]"
Day 2_A8-3-L.png,"[ 21.57273   ,   4.0576105 ,  -2.2355309 , -14.59749   ,  -9.164345  ,
   2.155398  ,   3.2955492 ,   8.623971  ,  -2.8062637 ,   1.8214326 ,
   4.3340683 ,  -1.3938096 ,   4.2941256 ,  -4.9661117 ,  -4.0896974 ,
  -0.43687323]"
Day 5_Y8-1-L.png,"[ 5.5333624, -2.6687474, -2.342401 , -5.2455   , -2.979433 ,  3.336153 ,
 -2.571754 ,  5.825424 ,  0.2281777, -4.4344215, -1.5655841,  1.5084268,
  4.5338974, -0.5126876, -3.4854207,  3.1522295]"
Day 13_A8-4-L.png,"[-12.795927  ,   0.40539974,   0.06604397,   4.7744436 ,   3.8284793 ,
  -2.458485  ,   0.3141431 ,  -3.221664  ,  -0.8242006 ,   1.2418922 ,
   0.5580835 ,   0.5448355 ,  -2.2141035 ,   0.2576901 ,   2.7483058 ,
  -0.77666795]"
